id,date,store_nbr,item_nbr,unit_sales,onpromotion
0,2013-01-01,25,103665,7.0,
1,2013-01-01,25,105574,1.0,
2,2013-01-01,25,105575,2.0,
3,2013-01-01,25,108079,1.0,
4,2013-01-01,25,108701,1.0,
5,2013-01-01,25,108786,3.0,
6,2013-01-01,25,108797,1.0,
7,2013-01-01,25,108952,1.0,
8,2013-01-01,25,111397,13.0,
9,2013-01-01,25,114790,3.0,
10,2013-01-01,25,114800,1.0,
11,2013-01-01,25,115267,1.0,
12,2013-01-01,25,115611,1.0,
13,2013-01-01,25,115693,1.0,
14,2013-01-01,25,115720,5.0,
15,2013-01-01,25,115850,1.0,
16,2013-01-01,25,115891,6.0,
17,2013-01-01,25,115892,10.0,
18,2013-01-01,25,115894,5.0,
19,2013-01-01,25,119024,1.0,
20,2013-01-01,25,119026,1.0,
21,2013-01-01,25,119141,1.0,
22,2013-01-01,25,119187,1.0,
23,2013-01-01,25,119624,4.0,
24,2013-01-01,25,123927,1.0,
25,2013-01-01,25,129635,11.0,
26,2013-01-01,25,153239,3.0,
27,2013-01-01,25,153267,9.0,
28,2013-01-01,25,153395,7.0,
29,2013-01-01,25,155607,2.0,
30,2013-01-01,25,158680,1.0,
31,2013-01-01,25,158788,4.0,
32,2013-01-01,25,158842,9.0,
33,2013-01-01,25,158875,1.0,
34,2013-01-01,25,158956,5.0,
35,2013-01-01,25,159156,29.904,
36,2013-01-01,25,162066,2.0,
37,2013-01-01,25,164036,1.0,
38,2013-01-01,25,164088,3.0,
39,2013-01-01,25,165550,10.0,
40,2013-01-01,25,165551,1.0,
41,2013-01-01,25,165553,9.0,
42,2013-01-01,25,165594,4.0,
43,2013-01-01,25,165704,4.0,
44,2013-01-01,25,165705,15.0,
45,2013-01-01,25,165718,2.0,
46,2013-01-01,25,165988,1.0,
47,2013-01-01,25,168927,9.0,
48,2013-01-01,25,169104,1.0,
49,2013-01-01,25,172184,2.0,
50,2013-01-01,25,172343,1.0,
51,2013-01-01,25,173113,2.0,
52,2013-01-01,25,177050,1.0,
53,2013-01-01,25,179600,1.0,
54,2013-01-01,25,205387,1.0,
55,2013-01-01,25,207857,1.0,
56,2013-01-01,25,208384,3.0,
57,2013-01-01,25,208498,3.0,
58,2013-01-01,25,208514,2.0,
59,2013-01-01,25,211203,1.0,
60,2013-01-01,25,214381,5.0,
61,2013-01-01,25,214862,1.0,
62,2013-01-01,25,215331,2.0,
63,2013-01-01,25,215332,1.0,
64,2013-01-01,25,215352,46.0,
65,2013-01-01,25,215356,5.0,
66,2013-01-01,25,215370,2.0,
67,2013-01-01,25,219147,2.0,
68,2013-01-01,25,219150,21.0,
69,2013-01-01,25,220435,4.0,
70,2013-01-01,25,222879,5.0,
71,2013-01-01,25,223434,1.0,
72,2013-01-01,25,224081,6.0,
73,2013-01-01,25,226857,1.0,
74,2013-01-01,25,227111,1.0,
75,2013-01-01,25,246052,1.0,
76,2013-01-01,25,252970,3.0,
77,2013-01-01,25,252972,2.0,
78,2013-01-01,25,253103,2.0,
79,2013-01-01,25,257847,90.0,
80,2013-01-01,25,257848,10.0,
81,2013-01-01,25,258268,6.0,
82,2013-01-01,25,258396,5.0,
83,2013-01-01,25,260893,4.0,
84,2013-01-01,25,261052,1.0,
85,2013-01-01,25,261053,1.0,
86,2013-01-01,25,261700,3.0,
87,2013-01-01,25,262358,1.0,
88,2013-01-01,25,265254,4.0,
89,2013-01-01,25,265257,5.0,
90,2013-01-01,25,265258,5.0,
91,2013-01-01,25,265266,1.0,
92,2013-01-01,25,265559,2.0,
93,2013-01-01,25,268440,1.0,
94,2013-01-01,25,268443,7.0,
95,2013-01-01,25,268664,2.0,
96,2013-01-01,25,268676,3.0,
97,2013-01-01,25,268834,2.0,
98,2013-01-01,25,273528,2.0,
99,2013-01-01,25,275823,1.0,
